Customer_ID,Customer_Name,Segment,Gender,City_Tier,Loyalty_Tier
CUST100000,Jessica Lopez,Consumer,Male,Tier 1,Silver
CUST100001,Charles Davis,Consumer,Male,Tier 3,Silver
CUST100002,Elizabeth Miller,Home Office,Male,Tier 1,Platinum
CUST100003,Mary Davis,Corporate,Male,Tier 1,Platinum
CUST100004,Robert Davis,Consumer,Female,Tier 2,Gold
CUST100005,Thomas Moore,Home Office,Male,Tier 2,Platinum
CUST100006,Sarah Jackson,Corporate,Female,Tier 1,Gold
CUST100007,Jessica Anderson,Home Office,Female,Tier 1,Silver
CUST100008,Thomas Johnson,Consumer,Female,Tier 1,Platinum
CUST100009,Joseph Garcia,Corporate,Female,Tier 2,Silver
CUST100010,James Johnson,Corporate,Female,Tier 2,Silver
CUST100011,Susan Smith,Home Office,Female,Tier 1,Gold
CUST100012,Elizabeth Rodriguez,Corporate,Female,Tier 2,Silver
CUST100013,Thomas Smith,Consumer,Female,Tier 3,Gold
CUST100014,John Jackson,Consumer,Male,Tier 2,Gold
CUST100015,Richard Gonzalez,Consumer,Female,Tier 2,Silver
CUST100016,Sarah Rodriguez,Home Office,Female,Tier 2,Silver
CUST100017,Elizabeth Wilson,Corporate,Female,Tier 3,Gold
CUST100018,Susan Brown,Corporate,Female,Tier 3,Gold
CUST100019,Richard Miller,Corporate,Male,Tier 3,Silver
CUST100020,William Lopez,Consumer,Female,Tier 1,Gold
CUST100021,William Miller,Corporate,Male,Tier 1,Gold
CUST100022,Susan Hernandez,Consumer,Male,Tier 3,Platinum
CUST100023,Joseph Smith,Corporate,Female,Tier 1,Platinum
CUST100024,Jennifer Hernandez,Consumer,Female,Tier 1,Platinum
CUST100025,Joseph Jones,Corporate,Male,Tier 1,Platinum
CUST100026,Robert Johnson,Home Office,Female,Tier 3,Platinum
CUST100027,Jennifer Moore,Home Office,Female,Tier 2,Gold
CUST100028,John Wilson,Consumer,Male,Tier 3,Gold
CUST100029,David Brown,Consumer,Male,Tier 3,Platinum
CUST100030,Jessica Anderson,Corporate,Female,Tier 1,Silver
CUST100031,Karen Smith,Corporate,Female,Tier 1,Platinum
CUST100032,John Hernandez,Home Office,Female,Tier 2,Silver
CUST100033,Karen Jones,Corporate,Male,Tier 2,Gold
CUST100034,Joseph Hernandez,Consumer,Female,Tier 2,Silver
CUST100035,Thomas Hernandez,Consumer,Male,Tier 2,Gold
CUST100036,Patricia Anderson,Consumer,Male,Tier 3,Silver
CUST100037,Jennifer Lopez,Consumer,Female,Tier 2,Gold
CUST100038,Susan Rodriguez,Consumer,Male,Tier 3,Gold
CUST100039,Barbara Brown,Home Office,Female,Tier 1,Platinum
CUST100040,James Davis,Home Office,Female,Tier 2,Gold
CUST100041,Thomas Jackson,Consumer,Male,Tier 1,Platinum
CUST100042,William Jones,Corporate,Female,Tier 1,Platinum
CUST100043,Linda Williams,Consumer,Male,Tier 3,Platinum
CUST100044,Mary Hernandez,Home Office,Male,Tier 2,Silver
CUST100045,Linda Hernandez,Consumer,Female,Tier 3,Silver
CUST100046,Robert Davis,Home Office,Female,Tier 1,Gold
CUST100047,Sarah Anderson,Home Office,Female,Tier 2,Platinum
CUST100048,Barbara Wilson,Consumer,Female,Tier 1,Platinum
CUST100049,Karen Jackson,Consumer,Male,Tier 1,Gold
CUST100050,Charles Thomas,Corporate,Male,Tier 2,Platinum
CUST100051,Richard Taylor,Home Office,Male,Tier 2,Gold
CUST100052,Sarah Lopez,Corporate,Female,Tier 2,Platinum
CUST100053,Thomas Smith,Consumer,Male,Tier 3,Silver
CUST100054,John Anderson,Home Office,Male,Tier 3,Gold
CUST100055,Susan Johnson,Corporate,Female,Tier 1,Gold
CUST100056,Jessica Thomas,Corporate,Female,Tier 2,Silver
CUST100057,James Garcia,Corporate,Female,Tier 1,Gold
CUST100058,William Gonzalez,Consumer,Male,Tier 1,Silver
CUST100059,James Rodriguez,Consumer,Female,Tier 1,Platinum
CUST100060,Sarah Rodriguez,Consumer,Male,Tier 1,Silver
CUST100061,Michael Davis,Home Office,Male,Tier 1,Silver
CUST100062,Jessica Anderson,Consumer,Male,Tier 2,Gold
CUST100063,Elizabeth Brown,Home Office,Male,Tier 3,Platinum
CUST100064,Richard Garcia,Corporate,Male,Tier 2,Silver
CUST100065,Robert Wilson,Corporate,Female,Tier 2,Platinum
CUST100066,Jennifer Gonzalez,Consumer,Male,Tier 2,Silver
CUST100067,Richard Williams,Corporate,Female,Tier 3,Gold
CUST100068,Barbara Lopez,Consumer,Male,Tier 3,Silver
CUST100069,John Moore,Home Office,Male,Tier 3,Silver
CUST100070,Robert Smith,Corporate,Female,Tier 2,Platinum
CUST100071,William Hernandez,Consumer,Male,Tier 3,Silver
CUST100072,Linda Taylor,Corporate,Male,Tier 1,Gold
CUST100073,Robert Moore,Corporate,Female,Tier 3,Gold
CUST100074,Joseph Martin,Consumer,Female,Tier 2,Silver
CUST100075,James Smith,Corporate,Male,Tier 2,Silver
CUST100076,Richard Rodriguez,Corporate,Male,Tier 1,Platinum
CUST100077,Michael Gonzalez,Corporate,Male,Tier 3,Platinum
CUST100078,Richard Wilson,Corporate,Female,Tier 3,Gold
CUST100079,John Jones,Home Office,Male,Tier 1,Platinum
CUST100080,Robert Martin,Corporate,Female,Tier 2,Silver
CUST100081,Elizabeth Anderson,Corporate,Female,Tier 2,Gold
CUST100082,David Williams,Consumer,Male,Tier 3,Platinum
CUST100083,Linda Brown,Home Office,Female,Tier 3,Gold
CUST100084,Karen Jackson,Consumer,Male,Tier 3,Silver
CUST100085,William Jones,Consumer,Male,Tier 3,Platinum
CUST100086,James Smith,Consumer,Female,Tier 3,Silver
CUST100087,Jennifer Miller,Home Office,Female,Tier 2,Silver
CUST100088,Elizabeth Wilson,Consumer,Female,Tier 2,Gold
CUST100089,Barbara Jackson,Consumer,Female,Tier 2,Gold
CUST100090,Jessica Hernandez,Consumer,Female,Tier 2,Gold
