Row_ID,Order_ID,Store Identifier,Order_Date,Ship_Date,Expected_Delivery_Date,Delivered_Date,Delivery_Status,Customer_ID,Ship_Mode,Product_ID,Quantity,Sales,Discount,Discount_Amount,Net_Sales,Profit
5791,ORD00000832,STORE1000,01-01-2022,06-01-2022,10-01-2022,13-01-2022,Late,CUST102677,Express,PROD7389,3,65767.5,0.05,3288.38,62479.12,33786.07
47454,ORD00000488,STORE1001,01-01-2022,05-01-2022,07-01-2022,07-01-2022,On Time,CUST101467,Standard,PROD8592,2,33186.38,0.1,3318.64,29867.74,15486.12
39096,ORD00000571,STORE1002,01-01-2022,03-01-2022,06-01-2022,07-01-2022,Late,CUST103318,Same Day,PROD8651,1,10783.79,0.05,539.19,10244.6,4093.72
1854,ORD00000661,STORE1003,01-01-2022,04-01-2022,09-01-2022,10-01-2022,Late,CUST101648,Standard,PROD8837,2,36660.8,0.05,1833.04,34827.76,12770.12
3403,ORD00000317,STORE1004,01-01-2022,02-01-2022,05-01-2022,08-01-2022,Late,CUST100406,Standard,PROD7140,2,5390.88,0.1,539.09,4851.79,2465.93
31618,ORD00000778,STORE1005,01-01-2022,02-01-2022,06-01-2022,08-01-2022,Late,CUST101246,Express,PROD5357,1,22185.47,0.1,2218.55,19966.92,4956.28
37173,ORD00000012,STORE1006,02-01-2022,06-01-2022,10-01-2022,12-01-2022,Late,CUST102107,Standard,PROD8182,2,17095.16,0.05,854.76,16240.4,6901.4
32020,ORD00000783,STORE1007,02-01-2022,07-01-2022,12-01-2022,12-01-2022,On Time,CUST102041,Standard,PROD6760,1,1239.71,0.05,61.99,1177.72,412.76
48386,ORD00000554,STORE1008,02-01-2022,04-01-2022,09-01-2022,12-01-2022,Late,CUST100581,Express,PROD7468,3,19382.85,0,0,19382.85,10245.48
36329,ORD00000105,STORE1009,02-01-2022,07-01-2022,09-01-2022,12-01-2022,Late,CUST103637,Same Day,PROD5518,2,83504.56,0.1,8350.46,75154.1,40038.64
47372,ORD00000686,STORE1010,02-01-2022,04-01-2022,09-01-2022,10-01-2022,Late,CUST103635,Standard,PROD6422,4,98680.72,0.05,4934.04,93746.68,38016.96
23323,ORD00000119,STORE1011,02-01-2022,07-01-2022,09-01-2022,12-01-2022,Late,CUST101387,Express,PROD9183,4,23304.84,0.05,1165.24,22139.6,12204.8
12403,ORD00000994,STORE1012,02-01-2022,05-01-2022,09-01-2022,10-01-2022,Late,CUST100843,Same Day,PROD9101,4,118350.76,0.05,5917.54,112433.22,62620.94
27796,ORD00000226,STORE1013,03-01-2022,05-01-2022,08-01-2022,07-01-2022,Early,CUST103299,Express,PROD6488,4,28501,0.1,2850.1,25650.9,5415.38
18520,ORD00000143,STORE1014,03-01-2022,06-01-2022,11-01-2022,14-01-2022,Late,CUST100637,Express,PROD6726,3,51773.79,0,0,51773.79,15446.7
35544,ORD00000420,STORE1015,03-01-2022,06-01-2022,08-01-2022,08-01-2022,On Time,CUST103819,Express,PROD9153,1,21534.42,0,0,21534.42,10433.72
12590,ORD00000201,STORE1016,03-01-2022,08-01-2022,13-01-2022,12-01-2022,Early,CUST100531,Standard,PROD6049,2,26572.3,0.1,2657.23,23915.07,8354.31
29506,ORD00001048,STORE1017,03-01-2022,04-01-2022,09-01-2022,09-01-2022,On Time,CUST102524,Same Day,PROD5658,1,19547.73,0.05,977.39,18570.34,6375.31
14814,ORD00000326,STORE1018,03-01-2022,04-01-2022,06-01-2022,09-01-2022,Late,CUST100862,Same Day,PROD8760,4,35648.96,0,0,35648.96,12401.04
39806,ORD00000980,STORE1019,04-01-2022,08-01-2022,12-01-2022,13-01-2022,Late,CUST102088,Express,PROD5806,2,63998.5,0,0,63998.5,27315.54
25359,ORD00000659,STORE1020,04-01-2022,05-01-2022,07-01-2022,09-01-2022,Late,CUST100987,Standard,PROD8657,4,16197.24,0,0,16197.24,6534.84
6878,ORD00000723,STORE1021,04-01-2022,06-01-2022,10-01-2022,11-01-2022,Late,CUST103504,Express,PROD8421,3,34954.68,0,0,34954.68,14575.56
39077,ORD00000374,STORE1022,04-01-2022,09-01-2022,13-01-2022,14-01-2022,Late,CUST102730,Express,PROD8916,4,133679.48,0.1,13367.95,120311.53,63588.01
20631,ORD00000337,STORE1023,04-01-2022,06-01-2022,09-01-2022,12-01-2022,Late,CUST103942,Same Day,PROD7710,1,7456.58,0.1,745.66,6710.92,2564.17
37281,ORD00000932,STORE1024,04-01-2022,06-01-2022,11-01-2022,12-01-2022,Late,CUST102389,Express,PROD5163,3,53038.05,0.05,2651.9,50386.15,26799.73
19452,ORD00000053,STORE1025,05-01-2022,07-01-2022,10-01-2022,13-01-2022,Late,CUST100051,Same Day,PROD6331,3,21739.5,0,0,21739.5,8084.34
