Product_ID,Product_Name,Brand,Category,Sub_Category,Material,Unit_Cost,Selling_Price,MRP,Warranty_Years
PROD5000,HabiNest Plastic Box Model 0,HomeSphere,Storage & Organisation,Plastic Box,Glass,2951.34,4675.01,5376.26,2
PROD5001,SpaceCraft Cookware Set Model 1,IndiCasa,Kitchen & Dining,Cookware Set,Fabric,3839.29,7584.81,8722.53,1
PROD5002,UrbanNest Modular Shelf Model 2,DesiCraft,Storage & Organisation,Modular Shelf,Metal,5493.83,12696.6,14601.09,0
PROD5003,CasaAura Comforter Model 3,Livora,Bedding & Furnishings,Comforter,Wood,19683.62,37474.06,43095.17,1
PROD5004,InHome Ironing Board Model 4,CasaNova,Home Utility,Ironing Board,Wood,1870.01,3329.33,3828.73,1
PROD5005,Decoria Storage Container Model 5,CasaAura,Kitchen & Dining,Storage Container,Metal,3112.82,6981.97,8029.27,1
PROD5006,Decoria Dinnerware Model 6,AuraHome,Kitchen & Dining,Dinnerware,Metal,2781.34,4129.03,4748.38,2
PROD5007,AuraHome Bedsheet Model 7,HomeSphere,Bedding & Furnishings,Bedsheet,Wood,9852.79,23522,27050.3,0
PROD5008,DesiCraft Desk Lamp Model 8,Furnivo,Lighting,Table Lamp,Metal,6591.98,12830.03,14754.53,1
PROD5009,AuraHome Cookware Set Model 9,BharatLiving,Kitchen & Dining,Cookware Set,Glass,8905,19970.25,22965.79,2
PROD5010,CasaNova Pillow Model 10,HomeSphere,Bedding & Furnishings,Pillow,Glass,6884.42,13828.94,15903.28,3
PROD5011,HabiNest Storage Cabinet Model 11,Livora,Storage & Organisation,Storage Cabinet,Fabric,2786.61,5258.12,6046.84,1
PROD5012,Decoria Dinnerware Model 12,Livora,Kitchen & Dining,Dinnerware,Wood,8455.33,19441.82,22358.09,3
PROD5013,Furnivo Clock Model 13,AuraHome,Home Decor,Clock,Plastic,5430.99,12704.16,14609.78,0
PROD5014,SpaceCraft Storage Cabinet Model 14,Furnivo,Storage & Organisation,Storage Cabinet,Plastic,1104.97,1808.88,2080.21,1
PROD5015,Roomify Floor Lamp Model 15,UrbanNest,Lighting,Floor Lamp,Glass,1415.51,3355.3,3858.59,0
PROD5016,Decoria Dinnerware Model 16,Decoria,Kitchen & Dining,Dinnerware,Metal,10103.95,17971.8,20667.57,0
PROD5017,IndiCasa Clock Model 17,VastuLiving,Home Decor,Clock,Wood,1674.58,3376.55,3883.03,0
PROD5018,HabiNest Pillow Model 18,CasaAura,Bedding & Furnishings,Pillow,Metal,19801.62,33706.03,38761.93,0
PROD5019,Furnivo Storage Container Model 19,Decoria,Kitchen & Dining,Storage Container,Glass,670.75,1448.63,1665.92,2
PROD5020,VastuLiving Cookware Set Model 20,BharatLiving,Kitchen & Dining,Cookware Set,Metal,12523.72,24415.66,28078.01,3
PROD5021,AuraHome Desk Lamp Model 21,IndiCasa,Lighting,Table Lamp,Glass,6134.12,11779.79,13546.76,2
PROD5022,Decoria Dinnerware Model 22,AuraHome,Kitchen & Dining,Dinnerware,Plastic,2012.95,4707.71,5413.87,3
PROD5023,SpaceCraft TV Unit Model 23,DesiCraft,Furniture,TV Unit,Fabric,1459.33,2902.7,3338.1,0
PROD5024,SpaceCraft Doormat Model 24,VastuLiving,Home Utility,Doormat,Metal,15986.35,31906.89,36692.92,3
PROD5025,HabiNest Mirror Model 25,Zenvilla,Home Decor,Mirror,Wood,13903.1,29294.3,33688.44,2
PROD5026,Livora Doormat Model 26,Nestora,Home Utility,Doormat,Metal,11746.6,17014,19566.1,1
PROD5027,DesiCraft Ironing Board Model 27,CasaNova,Home Utility,Ironing Board,Metal,9813.61,19630.07,22574.58,3
PROD5028,Nestora Step Ladder Model 28,Livora,Home Utility,Step Ladder,Glass,8906.1,16063.7,18473.26,2
PROD5029,VastuLiving Bedsheet Model 29,Decoria,Bedding & Furnishings,Bedsheet,Fabric,1775.84,2656.06,3054.47,2
PROD5030,Livora Dining Desk Model 30,Livora,Furniture,Dining Table,Plastic,19277.1,29940.19,34431.22,2
PROD5031,VastuLiving Floor Lamp Model 31,Decoria,Lighting,Floor Lamp,Fabric,2676.01,4529.41,5208.82,1
PROD5032,DesiCraft Floor Lamp Model 32,DesiCraft,Lighting,Floor Lamp,Fabric,9299.27,19127.71,21996.87,1
PROD5033,IndiCasa Step Ladder Model 33,BharatLiving,Home Utility,Step Ladder,Metal,2475.78,4026.76,4630.77,3
PROD5034,Decoria Step Ladder Model 34,Decoria,Home Utility,Step Ladder,Metal,18887.6,36118.43,41536.19,1
PROD5035,IndiCasa Doormat Model 35,Furnivo,Home Utility,Doormat,Plastic,8229.7,17459.42,20078.33,3
PROD5036,BharatLiving Clock Model 36,SpaceCraft,Home Decor,Clock,Plastic,19210.88,42237.29,48572.88,1
PROD5037,VastuLiving Step Ladder Model 37,Nestora,Home Utility,Step Ladder,Wood,3156.66,4805.18,5525.96,1
PROD5038,Roomify Desk Lamp Model 38,Roomify,Lighting,Table Lamp,Wood,14172.91,20230,23264.5,1
PROD5039,Livora Cookware Set Model 39,Roomify,Kitchen & Dining,Cookware Set,Wood,1636.28,3286.14,3779.06,0
PROD5040,Nestora Floor Lamp Model 40,Decoria,Lighting,Floor Lamp,Wood,14431.4,33702.26,38757.6,1
PROD5041,Livora Desk Lamp Model 41,Livora,Lighting,Table Lamp,Glass,3162.33,7000.77,8050.89,2
PROD5042,UrbanNest Ceiling Light Model 42,SpaceCraft,Lighting,Ceiling Light,Glass,3889.97,8802.22,10122.55,2
PROD5043,CasaNova Ironing Board Model 43,InHome,Home Utility,Ironing Board,Plastic,18090.76,34290.52,39434.1,2
PROD5044,IndiCasa Plastic Box Model 44,BharatLiving,Storage & Organisation,Plastic Box,Plastic,18717.53,32251.97,37089.77,1
