Order_ID,Payment_Date,Payment_ID,Payment_Method,Promotion_Type,Coupon_Code,Tax_Amount,Installment_Flag,Number_of_Installments,Interest_Rate_Percent,Financing_Provider,Payment_Status,Refund_Flag
ORD00000001,01-01-2022,PAY00000001,Credit Card,No Promotion,,1193.0528,No,0,0,,Completed,No
ORD00000002,02-01-2022,PAY00000002,Store Financing,No Promotion,,3736.264,Yes,12,12.5,Store Partner,Completed,No
ORD00000003,03-01-2022,PAY00000003,Buy Now Pay Later,Seasonal Offer,SAVE10,1610.4248,Yes,12,0,Store Partner,Completed,No
ORD00000004,04-01-2022,PAY00000004,Store Financing,No Promotion,,3113.2968,Yes,12,12.5,Store Partner,Completed,No
ORD00000005,05-01-2022,PAY00000005,Store Financing,Seasonal Offer,SAVE10,2537.8272,Yes,12,12.5,Store Partner,Completed,No
ORD00000006,06-01-2022,PAY00000006,Store Financing,No Promotion,,4198.5288,Yes,12,12.5,Store Partner,Completed,No
ORD00000007,07-01-2022,PAY00000007,Digital Wallet,Seasonal Offer,SAVE10,327.4696,No,0,0,,Completed,No
ORD00000008,08-01-2022,PAY00000008,Store Financing,No Promotion,,3035.2056,Yes,12,12.5,Store Partner,Completed,No
ORD00000009,09-01-2022,PAY00000009,Digital Wallet,Seasonal Offer,SAVE10,194.332,No,0,0,,Completed,No
ORD00000010,10-01-2022,PAY00000010,Store Financing,Seasonal Offer,SAVE10,3965.1664,Yes,12,12.5,Store Partner,Completed,No
ORD00000011,11-01-2022,PAY00000011,Credit Card,Seasonal Offer,SAVE10,856.984,No,0,0,,Completed,No
ORD00000012,12-01-2022,PAY00000012,Credit Card,No Promotion,,736.7392,No,0,0,,Completed,No
ORD00000013,13-01-2022,PAY00000013,Store Financing,Seasonal Offer,SAVE10,4113.2984,Yes,12,12.5,Store Partner,Completed,No
ORD00000014,14-01-2022,PAY00000014,Buy Now Pay Later,Seasonal Offer,SAVE10,1971.2336,Yes,12,0,Store Partner,Completed,No
ORD00000015,15-01-2022,PAY00000015,Credit Card,Seasonal Offer,SAVE10,1173.788,No,0,0,,Completed,No
ORD00000016,16-01-2022,PAY00000016,Store Financing,No Promotion,,2537.5608,Yes,12,12.5,Store Partner,Completed,No
ORD00000017,17-01-2022,PAY00000017,Store Financing,Seasonal Offer,SAVE10,5397.9264,Yes,12,12.5,Store Partner,Completed,No
ORD00000018,18-01-2022,PAY00000018,Store Financing,No Promotion,,5483.6016,Yes,12,12.5,Store Partner,Completed,No
ORD00000019,19-01-2022,PAY00000019,Store Financing,No Promotion,,2463.9,Yes,12,12.5,Store Partner,Completed,No
ORD00000020,20-01-2022,PAY00000020,Store Financing,No Promotion,,10328.9472,Yes,12,12.5,Store Partner,Completed,No
ORD00000021,21-01-2022,PAY00000021,Store Financing,Seasonal Offer,SAVE10,10982.9272,Yes,12,12.5,Store Partner,Completed,No
ORD00000022,22-01-2022,PAY00000022,Store Financing,Seasonal Offer,SAVE10,2703.5488,Yes,12,12.5,Store Partner,Completed,No
ORD00000023,23-01-2022,PAY00000023,Store Financing,No Promotion,,2492.2704,Yes,12,12.5,Store Partner,Completed,No
ORD00000024,24-01-2022,PAY00000024,Store Financing,No Promotion,,5076.3632,Yes,12,12.5,Store Partner,Completed,No
ORD00000025,25-01-2022,PAY00000025,Gift Card,Seasonal Offer,SAVE10,619.4504,No,0,0,,Completed,No
ORD00000026,26-01-2022,PAY00000026,Store Financing,No Promotion,,7153.3952,Yes,12,12.5,Store Partner,Completed,No
ORD00000027,27-01-2022,PAY00000027,Digital Wallet,Seasonal Offer,SAVE10,251.0312,No,0,0,,Completed,No
ORD00000028,28-01-2022,PAY00000028,Buy Now Pay Later,No Promotion,,2264.5592,Yes,12,0,Store Partner,Completed,No
ORD00000029,29-01-2022,PAY00000029,Buy Now Pay Later,Seasonal Offer,SAVE10,1560.4912,Yes,12,0,Store Partner,Completed,No
ORD00000030,30-01-2022,PAY00000030,Store Financing,Seasonal Offer,SAVE10,5992.484,Yes,12,12.5,Store Partner,Completed,No
ORD00000031,31-01-2022,PAY00000031,Store Financing,No Promotion,,7612.6824,Yes,12,12.5,Store Partner,Completed,No
ORD00000032,01-02-2022,PAY00000032,Store Financing,No Promotion,,3189.5736,Yes,12,12.5,Store Partner,Completed,No
ORD00000033,02-02-2022,PAY00000033,Store Financing,No Promotion,,2441.9488,Yes,12,12.5,Store Partner,Completed,No
ORD00000034,03-02-2022,PAY00000034,Store Financing,Seasonal Offer,SAVE10,10066.1992,Yes,12,12.5,Store Partner,Completed,No
ORD00000035,04-02-2022,PAY00000035,Buy Now Pay Later,Seasonal Offer,SAVE10,1950.0336,Yes,12,0,Store Partner,Completed,No
ORD00000036,05-02-2022,PAY00000036,Credit Card,Seasonal Offer,SAVE10,866.6736,No,0,0,,Completed,No
ORD00000037,06-02-2022,PAY00000037,Buy Now Pay Later,No Promotion,,1766.0984,Yes,12,0,Store Partner,Completed,No
ORD00000038,07-02-2022,PAY00000038,Gift Card,No Promotion,,510.78,No,0,0,,Completed,No
ORD00000039,08-02-2022,PAY00000039,Credit Card,No Promotion,,1057.7128,No,0,0,,Completed,No
ORD00000040,09-02-2022,PAY00000040,Store Financing,Seasonal Offer,SAVE10,3185.7552,Yes,12,12.5,Store Partner,Completed,No
ORD00000041,10-02-2022,PAY00000041,Store Financing,Seasonal Offer,SAVE10,5884.2032,Yes,12,12.5,Store Partner,Completed,No
ORD00000042,11-02-2022,PAY00000042,Store Financing,Seasonal Offer,SAVE10,5092.1,Yes,12,12.5,Store Partner,Completed,No
ORD00000043,12-02-2022,PAY00000043,Buy Now Pay Later,No Promotion,,1579.472,Yes,12,0,Store Partner,Completed,No
ORD00000044,13-02-2022,PAY00000044,Credit Card,No Promotion,,851.8384,No,0,0,,Completed,No
ORD00000045,14-02-2022,PAY00000045,Store Financing,Seasonal Offer,SAVE10,4216.9328,Yes,12,12.5,Store Partner,Completed,No
ORD00000046,15-02-2022,PAY00000046,Digital Wallet,Seasonal Offer,SAVE10,349.9512,No,0,0,,Completed,No
ORD00000047,16-02-2022,PAY00000047,Store Financing,Seasonal Offer,SAVE10,2456.408,Yes,12,12.5,Store Partner,Completed,No
ORD00000048,17-02-2022,PAY00000048,Credit Card,No Promotion,,984.5632,No,0,0,,Completed,No
ORD00000049,18-02-2022,PAY00000049,Store Financing,No Promotion,,4669.8432,Yes,12,12.5,Store Partner,Completed,No
ORD00000050,19-02-2022,PAY00000050,Digital Wallet,No Promotion,,252.8136,No,0,0,,Completed,No
ORD00000051,20-02-2022,PAY00000051,Store Financing,Seasonal Offer,SAVE10,2858.364,Yes,12,12.5,Store Partner,Completed,No
ORD00000052,21-02-2022,PAY00000052,Store Financing,No Promotion,,3742.9632,Yes,12,12.5,Store Partner,Completed,No
ORD00000053,22-02-2022,PAY00000053,Store Financing,Seasonal Offer,SAVE10,8091.4656,Yes,12,12.5,Store Partner,Completed,No
ORD00000054,23-02-2022,PAY00000054,Store Financing,Seasonal Offer,SAVE10,4845.1296,Yes,12,12.5,Store Partner,Completed,No
ORD00000055,24-02-2022,PAY00000055,Buy Now Pay Later,No Promotion,,2183.2896,Yes,12,0,Store Partner,Completed,No
ORD00000056,25-02-2022,PAY00000056,Store Financing,Seasonal Offer,SAVE10,7015.4752,Yes,12,12.5,Store Partner,Completed,No
ORD00000057,26-02-2022,PAY00000057,Store Financing,Seasonal Offer,SAVE10,2636.3368,Yes,12,12.5,Store Partner,Completed,No
ORD00000058,27-02-2022,PAY00000058,Store Financing,Seasonal Offer,SAVE10,3105.0672,Yes,12,12.5,Store Partner,Completed,No
ORD00000059,28-02-2022,PAY00000059,Store Financing,Seasonal Offer,SAVE10,4753.5336,Yes,12,12.5,Store Partner,Completed,No
ORD00000060,01-03-2022,PAY00000060,Buy Now Pay Later,No Promotion,,1228.9856,Yes,12,0,Store Partner,Completed,No
ORD00000061,02-03-2022,PAY00000061,Store Financing,No Promotion,,3793.3104,Yes,12,12.5,Store Partner,Completed,No
ORD00000062,03-03-2022,PAY00000062,Store Financing,Seasonal Offer,SAVE10,10067.9096,Yes,12,12.5,Store Partner,Completed,No
ORD00000063,04-03-2022,PAY00000063,Store Financing,Seasonal Offer,SAVE10,3644.6216,Yes,12,12.5,Store Partner,Completed,No
ORD00000064,05-03-2022,PAY00000064,Gift Card,Seasonal Offer,SAVE10,608.0464,No,0,0,,Completed,No
ORD00000065,06-03-2022,PAY00000065,Store Financing,Seasonal Offer,SAVE10,4100.3432,Yes,12,12.5,Store Partner,Completed,No
ORD00000066,07-03-2022,PAY00000066,Credit Card,No Promotion,,954.776,No,0,0,,Completed,No
ORD00000067,08-03-2022,PAY00000067,Store Financing,No Promotion,,3127.6368,Yes,12,12.5,Store Partner,Completed,No
ORD00000068,09-03-2022,PAY00000068,Buy Now Pay Later,Seasonal Offer,SAVE10,2078.1672,Yes,12,0,Store Partner,Completed,No
ORD00000069,10-03-2022,PAY00000069,Digital Wallet,Seasonal Offer,SAVE10,179.6728,No,0,0,,Completed,No
ORD00000070,11-03-2022,PAY00000070,Gift Card,No Promotion,,600.1344,No,0,0,,Completed,No
ORD00000071,12-03-2022,PAY00000071,Store Financing,Seasonal Offer,SAVE10,9751.9136,Yes,12,12.5,Store Partner,Completed,No
ORD00000072,13-03-2022,PAY00000072,Credit Card,Seasonal Offer,SAVE10,673.248,No,0,0,,Completed,No
ORD00000073,14-03-2022,PAY00000073,Store Financing,No Promotion,,9286.0736,Yes,12,12.5,Store Partner,Completed,No
ORD00000074,15-03-2022,PAY00000074,Store Financing,No Promotion,,7189.0368,Yes,12,12.5,Store Partner,Completed,No
